"date","price","receive_count","sent_count","avg_fee","blocksize","btchashrate","OIL","ecr20_transfers","GOLD","searches","hashrate","marketcap","difficulty","s&p500","transactionfee","transactions","tweet_count","unique_adresses","VIX","UVYX"
2016-11-06,10.97,7169,13462,0.01,1289,1847956.77194818,44.07,396,1365.7,1,3870.5255,940.219052044375,51.647,2085.18,2.3282718881161e+19,34391,3091,790947,22.51,20390
2016-11-07,10.9,8895,16052,0.01,1399,1847956.77194818,44.89,470,1340.4,1,4601.8022,934.5820012,58.599,2131.52,29029823132227694592,41941,1377,792758,18.709999,15300
2016-11-08,10.86,8586,15284,0.01,1476,1847956.77194818,44.98,535,1336.2,1,5126.5784,931.50341573625,67.264,2139.56,31468343128774328320,41569,1496,794819,18.74,14270
2016-11-09,10.64,8954,15642,0.01,1484,2126416.01155681,45.27,559,1335.7,1,5000.396,912.9630457325,68.501,2163.26,34985425585907515392,40517,1656,797293,14.38,13550
2016-11-10,10.52,7455,14566,0.01,1492,2126416.01155681,44.66,478,1326.6,1,4596.517,902.9948074475,62.532,2167.48,35377435568150122496,40164,1548,799270,14.74,14180
2016-11-11,10.29,8728,15763,0.01,1462,2126416.01155681,43.41,1358,1282.7,1,4470.7243,883.575007704375,60.582,2164.45,4.4235781586002e+19,41070,2105,801510,14.17,13540
2016-11-12,9.96,8326,14696,0.01,1426,1809985.0574561,43.41,979,1282.7,1,4555.873,855.5570049675,60.465,2164.45,3.0717758394736e+19,40882,1525,803333,14.17,13540
2016-11-13,10.13,9463,15302,0.01,1468,1809985.0574561,43.41,1486,1282.7,1,4937.128,870.488342910313,64.651,2164.45,33926470962063716352,43673,1948,805729,14.17,13540
2016-11-14,10,7635,14397,0.01,1576,1809985.0574561,43.32,1731,1286.9,1,5122.3997,859.63606125,68.109,2164.2,38314562568488067072,43876,2687,807584,14.48,13420
2016-11-15,10.22,8371,15436,0.01,1577,2177044.96421293,45.81,1374,1290.9,1,5155.4629,878.869341056875,69.61,2180.39,37027398102218792960,45330,3038,809701,13.37,12300
2016-11-16,10.01,7837,14310,0.01,1481,2177044.96421293,45.57,1053,1290.3,1,5050.1138,861.126511870625,67.943,2176.94,34924240184009535488,41684,2341,811573,13.72,12390
2016-11-17,9.95,7807,14265,0.01,1476,2177044.96421293,45.42,764,1283.8,1,4838.0854,856.271459904688,66.53,2187.12,30428800013697695744,40738,2645,813381,13.35,11610
2016-11-18,9.53,8083,15041,0.01,1514,1989192.73972682,45.69,730,1276.4,1,5193.5489,820.442788424375,66.438,2181.9,34701169488084365312,43785,2802,815431,12.85,11520
2016-11-19,9.7,7433,14551,0.01,1375,1989192.73972682,45.69,613,1276.4,1,5480.2832,835.391790803125,71.949,2181.9,27900216826074271744,39289,2282,817002,12.85,11520
2016-11-20,9.57,7764,15127,0.01,1473,1989192.73972682,45.69,702,1276.4,1,5987.5706,824.506462044375,78.335,2181.9,32596468833022054400,42125,1957,818672,12.85,11520
2016-11-21,9.56,7980,14711,0.01,1537,1877125.54312249,47.49,740,1276.8,1,6324.9229,823.94902733,84.45,2198.18,35251511680659517440,42735,4974,820838,12.42,10500
2016-11-22,9.84,21813,14878,0.01,1708,1877125.54312249,48.03,2692,1278,1,5955.0846,848.38821222,81.078,2202.94,38094845805446733824,53585,3026,822445,12.41,10660
2016-11-23,9.78,30063,15427,0.01,1950,1877125.54312249,47.96,439,1256.9,1,5908.0341,843.5341919775,75.589,2204.72,82229077971292274698,64289,2440,824109,12.43,10690
